epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4371.44,1.69104,1.5426,1.43061,0.53466,0.47176,0.46734,0.20229,1.94412,1.64825,1.55796,0.000469423,0.000469423,0.000469423
43,4475.87,1.69054,1.50774,1.4168,0.5428,0.46569,0.47075,0.20402,1.9378,1.64014,1.55218,0.000450385,0.000450385,0.000450385
44,4578.58,1.66579,1.48698,1.41229,0.55439,0.46974,0.48075,0.20837,1.93935,1.61465,1.5714,0.000431346,0.000431346,0.000431346
45,4682.92,1.6619,1.496,1.40879,0.55041,0.48189,0.48153,0.20867,1.92868,1.64061,1.5533,0.000412308,0.000412308,0.000412308
46,4787.81,1.66134,1.49565,1.40852,0.554,0.48786,0.47795,0.2086,1.92697,1.6133,1.54532,0.000393269,0.000393269,0.000393269
47,4891.94,1.65074,1.45053,1.38801,0.54428,0.48498,0.4799,0.21014,1.92542,1.60625,1.53899,0.000374231,0.000374231,0.000374231
48,4994.89,1.63511,1.45979,1.39461,0.53946,0.48663,0.48359,0.21282,1.92506,1.60973,1.54625,0.000355192,0.000355192,0.000355192
49,5104.04,1.64436,1.4341,1.38265,0.53976,0.48664,0.48493,0.21469,1.92625,1.59232,1.54585,0.000336154,0.000336154,0.000336154
50,5212.39,1.62356,1.43633,1.38144,0.53161,0.49516,0.48786,0.21569,1.91598,1.59521,1.53566,0.000317115,0.000317115,0.000317115
51,5319.69,1.62434,1.41357,1.37004,0.54559,0.48924,0.48874,0.21752,1.91979,1.58234,1.53125,0.000298077,0.000298077,0.000298077
52,5429.19,1.60777,1.40825,1.37053,0.5565,0.48364,0.49478,0.22047,1.91774,1.58216,1.53312,0.000279038,0.000279038,0.000279038
53,5538.19,1.62104,1.40296,1.37052,0.55259,0.49139,0.4959,0.22255,1.91869,1.57228,1.53298,0.00026,0.00026,0.00026
54,5642.88,1.59464,1.3833,1.3578,0.54587,0.49826,0.49753,0.22468,1.91144,1.56355,1.52332,0.000240962,0.000240962,0.000240962
55,5747.27,1.58159,1.37572,1.35492,0.5366,0.49555,0.49104,0.22337,1.91625,1.56883,1.53283,0.000221923,0.000221923,0.000221923
56,5850.65,1.63232,1.3486,1.39063,0.54979,0.49426,0.49623,0.22744,1.91653,1.54903,1.53094,0.000202885,0.000202885,0.000202885
57,5958.38,1.61277,1.32399,1.38296,0.55537,0.49988,0.50491,0.23204,1.91172,1.53714,1.5284,0.000183846,0.000183846,0.000183846
58,6066.53,1.61441,1.32906,1.38793,0.5571,0.49767,0.5015,0.22992,1.90506,1.53834,1.52356,0.000164808,0.000164808,0.000164808
59,6168.01,1.60406,1.32393,1.3747,0.55766,0.49874,0.50303,0.23299,1.90404,1.53493,1.527,0.000145769,0.000145769,0.000145769
60,6275.38,1.57542,1.2824,1.35696,0.56311,0.50152,0.50805,0.23684,1.89132,1.52809,1.51896,0.000126731,0.000126731,0.000126731
61,6382.22,1.57491,1.27072,1.36112,0.56919,0.50318,0.51032,0.23497,1.90025,1.52431,1.5243,0.000107692,0.000107692,0.000107692
62,6491.1,1.56856,1.26235,1.35503,0.57435,0.50371,0.5091,0.23686,1.89825,1.52066,1.52667,8.86538e-05,8.86538e-05,8.86538e-05
63,6599.3,1.56548,1.25574,1.35522,0.56181,0.50775,0.50928,0.23872,1.89418,1.51545,1.51899,6.96154e-05,6.96154e-05,6.96154e-05
64,6707.67,1.55322,1.2456,1.35019,0.56736,0.50934,0.51402,0.23917,1.89772,1.51128,1.52437,5.05769e-05,5.05769e-05,5.05769e-05
65,6816.56,1.55467,1.24418,1.35052,0.56593,0.51216,0.51386,0.2404,1.89747,1.50729,1.52339,3.15385e-05,3.15385e-05,3.15385e-05
